Id,SalePrice,GrLivArea,OverallQual,YearBuilt,Neighborhood,RecentPriceTrend,PropertyTax,CrimeRate,SchoolRating,Price_per_sqft,Distance_to_city
1,208500,1710,7,2003,CollgCr,-1.254598811526375,2575.4576226166337,3.92765620620728,5,121.9298245614035,19.0380052504092
2,181500,1262,6,1976,Veenker,4.507143064099161,3604.9319081659683,7.413591997886615,3,143.81933438985737,13.440146043861542
3,223500,1786,7,2001,CollgCr,2.3199394181140507,1426.3721212319629,8.351015198550725,8,125.13997760358343,1.643329598848383
4,140000,1717,7,1915,Crawfor,0.986584841970366,3631.3812184121443,2.6345257098094237,7,81.537565521258,15.236675888537802
5,250000,2198,8,2000,NoRidge,-3.439813595575635,4997.654903082666,4.338469073419887,3,113.73976342129208,23.060899142690133
6,143000,1362,5,1993,Mitchel,-3.4400547966379733,1192.8481554422242,9.11746177074235,9,104.99265785609398,8.333949141366201
7,307000,1694,8,2004,Somerst,-4.419163878318005,4908.696736885269,8.260241677252653,5,181.22786304604486,24.299820304638637
8,200000,2090,7,1973,NWAmes,3.6617614577493516,2627.6318428914824,9.863725624862283,9,95.69377990430623,7.928299598501003
9,129900,1774,7,1931,OldTown,1.0111501174320878,4483.013801349036,7.788234337138727,7,73.22435174746336,24.800518444548615
10,118000,1077,5,1939,BrkSide,2.0807257779604544,4129.541936233094,4.5387568092513,7,109.5636025998143,3.0154160775444834
11,129500,1040,5,1965,Sawyer,-4.7941550570419755,3268.0650439466713,6.31574050595174,6,124.51923076923077,26.05241941163637
12,345000,2324,9,2005,NridgHt,4.699098521619943,3953.796837005306,6.949128288225882,2,148.4509466437177,15.226000302533249
13,144000,912,5,1962,Sawyer,3.324426408004218,4514.062245205392,1.7061023468541157,9,157.89473684210526,9.247858893797728
14,279500,1494,7,2006,CollgCr,-2.8766088932172384,2616.561286604132,5.900472631934786,6,187.08165997322624,8.320840887246888
15,157000,1253,6,1960,NAmes,-3.181750327928994,2308.132646252955,7.383887456253486,8,125.29928172386273,13.244311488445698
16,132000,854,7,1929,BrkSide,-3.165954901465662,3670.3735422543386,2.505891736009543,1,154.56674473067915,29.971960194057527
17,149000,1004,6,1970,NAmes,-1.9575775704046228,4231.3837677650345,8.025685456830015,5,148.40637450199202,6.999658106408686
18,90000,1296,4,1967,Sawyer,0.24756431632237863,4049.140539106463,6.253955024627005,1,69.44444444444444,3.5448911419304885
19,159000,1114,5,2004,SawyerW,-0.6805498135788426,4191.254595434538,9.569996071278352,10,142.72890484739676,17.758537477200527
20,139000,1339,5,1958,NAmes,-2.0877085980195806,2742.3332592517318,1.3818006838620254,8,103.80881254667662,14.912002759987585
21,325300,2376,8,2005,NridgHt,1.118528947223795,4271.336864700086,3.3879352379992027,8,136.91077441077442,15.963789996367566
22,139400,1108,7,1930,IDOTRR,-3.6050613934795814,1480.8362214824338,6.413984913698417,1,125.81227436823104,20.174594817937905
23,230000,1795,8,2002,CollgCr,-2.0785535146478185,3177.9563918433983,3.669039209853376,9,128.13370473537606,8.380750061184155
24,129900,1060,5,1976,MeadowV,-1.336381567063083,1023.0346419924863,7.42981747664118,2,122.54716981132076,27.36461736382471
25,154000,1060,5,1968,Sawyer,-0.43930015782964027,2298.343319601081,7.831047542697379,9,145.28301886792454,13.352325950607566
26,256300,1600,8,2007,NridgHt,2.8517596139301364,2465.8461394855913,1.9226436765982702,1,160.1875,4.308042756702623
27,134800,900,5,1951,NAmes,-3.003262178416403,2584.6907664370215,5.624690177860909,10,149.77777777777777,22.397813323651356
28,306000,1704,8,2007,NridgHt,0.14234438413611628,3781.868826759449,5.580015000319503,9,179.57746478873239,19.471578402226584
29,207500,1600,5,1957,NAmes,0.9241456886204249,2554.232405081383,4.3235269319398695,4,129.6875,9.814430373279095
30,68500,520,4,1927,BrkSide,-4.5354958728000225,2794.774490490123,9.396323763127048,9,131.73076923076923,18.83480235900443
31,40000,1317,4,1920,IDOTRR,1.0754485190143832,1950.17652349731,8.44755687885899,7,30.372057706909644,6.985927712884818
32,149350,1228,5,1966,Sawyer,-3.294758763127085,2493.00716651736,7.274884437186731,6,121.62052117263843,13.622761100545622
33,179900,1234,8,2007,CollgCr,-4.349484070147205,1909.078509052606,7.428939721614978,5,145.78606158833063,27.032669403936094
34,165500,1700,5,1959,NAmes,4.488855372533333,1292.7836950737747,5.1554452943180715,9,97.3529411764706,4.439259878242108
